City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,sol'-iletsk,51.1631,54.9918,262.52,94,3,3.76,RU,1739158267
313,quatre cocos,-20.2078,57.7625,300.98,72,37,1.84,MU,1739158268
314,detroit lakes,46.8172,-95.8453,255.18,85,75,2.06,US,1739158269
315,tostado,-29.232,-61.7692,302.72,23,48,4.36,AR,1739158270
316,sansanne-mango,10.3592,0.4708,299.13,19,53,2.26,TG,1739158271
317,cooma,-36.2333,149.1333,289.28,92,83,1.68,AU,1739158272
318,likiep,9.8251,169.3107,300.36,80,9,7.32,MH,1739158273
319,port douglas,-16.4833,145.4667,298.63,89,100,0.47,AU,1739158274
320,aripuana,-9.1667,-60.6333,296.04,97,100,0.75,BR,1739158275
321,harper,4.375,-7.7169,299.74,85,99,1.97,LR,1739158276
322,tual,-5.6667,132.75,301.76,83,100,8.1,ID,1739158277
323,boa vista,2.8197,-60.6733,300.14,69,75,2.06,BR,1739158278
324,dzhalagash,45.0833,64.6667,268.9,56,100,7.09,KZ,1739158279
325,coahuayana de hidalgo,18.7,-103.6583,295.43,81,0,1.69,MX,1739158280
326,kuqa,41.7278,82.9364,270.73,58,54,0.4,CN,1739158281
327,lake charles,30.2131,-93.2044,293.14,97,75,3.09,US,1739158282
328,vilyuysk,63.7553,121.6247,249.91,91,100,2.27,RU,1739158283
329,sosnogorsk,63.6023,53.8817,265.34,93,27,2.94,RU,1739158284
330,ravar,31.2656,56.8055,271.88,85,39,0.92,IR,1739158285
331,suntar,62.1444,117.6319,254.6,95,100,2.16,RU,1739158286
332,monrovia,6.3005,-10.7969,299.38,89,71,2.57,LR,1739158288
333,afaahiti,-17.75,-149.2833,299.8,69,6,1.58,PF,1739158289
334,north haven,41.3909,-72.8595,271.46,86,0,0.0,US,1739158205
335,luganville,-15.5333,167.1667,302.93,74,79,2.7,VU,1739158291
336,zvishavane,-20.3267,30.0665,293.29,97,97,1.62,ZW,1739158292
337,pala,9.3642,14.9046,295.15,18,25,2.18,TD,1739158293
338,kristiansund,63.1115,7.732,277.51,70,97,3.09,NO,1739158294
339,canutama,-6.5339,-64.3831,295.87,100,94,1.07,BR,1739158295
340,island harbour,50.724,-1.2758,277.55,92,99,3.13,GB,1739158296
341,loen,7.7601,168.2307,300.81,77,23,6.81,MH,1739158297
342,zouerate,22.7187,-12.4521,286.83,15,0,3.63,MR,1739158298
343,kununurra,-15.7667,128.7333,301.14,89,100,4.63,AU,1739158299
344,plouzane,48.3833,-4.6167,276.18,93,100,2.06,FR,1739158300
345,raduzhny,62.0961,77.475,266.66,96,97,4.97,RU,1739158301
346,port-vila,-17.7338,168.3219,304.93,66,75,2.06,VU,1739158302
347,trevelin,-43.0858,-71.4639,288.03,91,55,4.18,AR,1739158303
348,pasighat,28.0667,95.3333,295.19,44,83,1.59,IN,1739158304
349,crane,31.3974,-102.3501,281.92,61,36,6.53,US,1739158305
350,shenjiamen,29.9576,122.298,279.42,52,1,2.37,CN,1739158306
351,batticaloa,7.7102,81.6924,299.86,68,99,2.5,LK,1739158307
352,colchani,-20.3,-66.9333,283.11,60,2,5.51,BO,1739158308
353,satara,17.6833,73.9833,299.94,37,5,2.0,IN,1739158309
354,mundemba,4.9479,8.8724,298.62,90,80,0.35,CM,1739158310
355,taro,-8.3862,115.28,295.34,96,100,1.87,ID,1739158313
356,trinitapoli,41.3572,16.0874,280.15,73,90,2.77,IT,1739158314
357,naze,28.3667,129.4833,286.66,61,59,4.53,JP,1739158305
358,san fernando,15.0286,120.6898,302.0,58,59,7.1,PH,1739158316
359,konnern,51.6667,11.7667,271.87,87,100,1.83,DE,1739158317
